grantee,grant_date,grant_amount_arb,grant_name,proposal_url,gap_url
Into the Dungeons-Machinata,2024-01-22,2500.0,Arbitrum Minigrants Round 2,https://jokerace.xyz/contest/arbitrumone/0x19bD7DE60eF13b93f03FAC83C711d2efe8D0417a/submission/5257222614456623234314859119301259889562494133930671436304953624483050476375,https://gap.karmahq.xyz/project/into-the-dungeons-machinata/grants?grantId=0x73b418b1af29c2182a3b4d7516db46caf507752d23abc2729a1e14c1ced0775f&tab=overview
Play2Learn Games,2024-01-22,2500.0,Arbitrum Minigrants Round 2,https://jokerace.xyz/contest/arbitrumone/0x19bD7DE60eF13b93f03FAC83C711d2efe8D0417a/submission/16786835321176096804432815914083251277668790477678281818944184716170553423929,https://gap.karmahq.xyz/project/play2learn-games-1/grants?grantId=0x3584b9eca94914d79244ac164a1a0d0818af1f8355617f614c03330c9c3fab85&tab=overview
Oasis Onchain,2024-01-15,2500.0,Arbitrum Minigrants Round 1,https://jokerace.xyz/contest/arbitrumone/0xC3EF90dFa75eA56A14bF92B1E46c5286b807aB11/submission/54514856747813978657856249662636338207410360494012982633179494001515221158904,https://gap.karmahq.xyz/project/oasis-onchain-1/grants?grantId=0x231208a6981eeec98ef79042cac96a6e2913f76806791d8289103566542bd02f&tab=overview
WEB3BEACH,2024-01-15,2500.0,Arbitrum Minigrants Round 1,https://jokerace.xyz/contest/arbitrumone/0xC3EF90dFa75eA56A14bF92B1E46c5286b807aB11/submission/85694776413448059157883867142782872294709066399214087563636546265747553247354,https://gap.karmahq.xyz/project/web3beach/grants?grantId=0x80e588dd5565ca76b27db1e29bd3f4ef1ebfae57b2f99d120a49b02791d8ae75&tab=overview
ShapeShift,2023-10-23,13000.0,Questbook - Dev Tooling on One and NOVA,https://questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x49c,https://gap.karmahq.xyz/project/shapeshift/grants?grantId=0x7e028694af2e884ff94ad03334a3f7583e95c1671ddfb3f41a44342d33e007a7&tab=overview
Coini Technologies,2023-11-01,12500.0,Questbook - Dev Tooling on One and NOVA,https://questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x4fa,https://gap.karmahq.xyz/project/coini-technologies/grants?grantId=0xe96b12ac35f5e7634dbe3b0df4f0b4238dbaa49fea3b6e6a244667f5c11efa45&tab=overview
Bytekode,2023-11-15,11000.0,Questbook - Dev Tooling on One and NOVA,https://questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x4c5,https://gap.karmahq.xyz/project/bytekode/grants?grantId=0x1c57c90d45e49f92acbca25bef24ad41e7abbd1d5e5ff65215d2791a4bd23661&tab=overview
Espacio Cripto,2023-12-04,8000.0,Questbook - Dev Tooling on One and NOVA,https://questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x51f,https://gap.karmahq.xyz/project/espacio-cripto/grants?grantId=0x9b50f8800ad25cf259a709245904258b6da812237878a64222b0e22294bf2b34&tab=overview
Arbitrum Python SDK,2023-12-14,20000.0,Questbook - Dev Tooling on One and NOVA,https://questbook.app/dashboard/?grantId=0x706bc8efecb6002f00a052fe5688d0eb89ea45f4&chainId=10&role=community&proposalId=0x5c5,https://gap.karmahq.xyz/project/arbitrum-python-sdk/grants?grantId=0xbdd3698dfc1ef3e372210e0117f769103703dc0b5f293f71990d1b5b438efe1a&tab=overview
DeFi Africa - Web3 BUIDL Workshops,2023-10-13,9750.0,"Questbook - Education, Community Growth and Events",https://questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x483,https://gap.karmahq.xyz/project/defi-africa---web3-buidl-workshops/grants?grantId=0xc7a83c4c5d33f4a18e17d0bd6a552a3da9da2f40887459b9bbedf99dfe8ae443&tab=overview
Onboarding of new developers,2023-10-28,9500.0,"Questbook - Education, Community Growth and Events",https://questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x47d,https://gap.karmahq.xyz/project/onboarding-of-new-developers/grants?grantId=0xcc750ea4fce35cac69c6c9a98b40f9610baf10f51a786f1208ce6cb707f73724&tab=overview
MetricsDAO,2023-11-03,20500.0,"Questbook - Education, Community Growth and Events",https://questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x49b,https://gap.karmahq.xyz/project/metricsdao/grants?grantId=0x53caf3d140ccf039d7a13e01ea161358599e0881e147f4648e0386db99dc84db&tab=overview
Arbitrum Aeternum Program,2023-12-08,18850.0,"Questbook - Education, Community Growth and Events",https://questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x5a4,https://gap.karmahq.xyz/project/arbitrum-aeternum-program/grants?grantId=0x7230fd3fa3452dd01555657a6679fbaf1849df20cc1e14c4fdaeb0c90a046818&tab=overview
Arbitrum Arabic,2023-12-16,14025.0,"Questbook - Education, Community Growth and Events",https://questbook.app/dashboard/?grantId=0x650b4a0dc2aec18f55adb72f13c5d95631db04be&chainId=10&role=community&proposalId=0x555,https://gap.karmahq.xyz/project/arbitrum-arabic/grants?grantId=0xb2c34aa40f1e48a426e8c8dfb11f53aa010cdeb7ee14950fd994209446c7a4ae&tab=overview
FPS,2023-11-08,5000.0,Questbook - Gaming,https://questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x471,https://gap.karmahq.xyz/project/fps/grants?grantId=0x98b168d483a27033d252f4bffe7ab620f2c82c42f198cf9e99c0a279ceb152f0&tab=overview
Smithonia,2023-11-22,25000.0,Questbook - Gaming,https://questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x47b,https://gap.karmahq.xyz/project/smithonia-1/grants?grantId=0x7bd4ab84b1aca9cb039f6e2091fe58efd7d59d9e3a8e98933c34833f8228539e&tab=overview
Spire,2023-11-23,17500.0,Questbook - Gaming,https://questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x4c1,https://gap.karmahq.xyz/project/spire/grants?grantId=0x64af388ccc81c5fbc12e8452929ee0af7663a68683ffccfe9b9bff8b49be33c1&tab=overview
Gaming Chronicles,2023-12-09,3300.0,Questbook - Gaming,https://questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x559,https://gap.karmahq.xyz/project/gaming-chronicles/grants?grantId=0xfdc8911f75ac0c9347ba0ea15b0c64e29ff7aa472fcdb5274c5bf5e81e129cdf&tab=overview
Gaming Startup Collective,2023-12-19,6900.0,Questbook - Gaming,https://questbook.app/dashboard/?grantId=0xbf93fc6825b5e9ba9a3d7fcf3d14cdfcf3b4c734&chainId=10&role=community&proposalId=0x53d,https://gap.karmahq.xyz/project/gaming-startup-collective/grants?grantId=0xabd57b51adc241e12d82a90da8421febca1ca91a1fb58b237827bfc65b4bfe56&tab=overview
